question,answer,question_vi,answer_vi
What resource is required to travel in the State Forum?,Action Points,Cần có nguồn lực gì để tham gia Diễn đàn Nhà nước?,Điểm hành động
What reward may be given to governors who do NOT qualify for the Ark of Osiris but whose fellow alliance members do qualify and are defeated?,Gems,Phần thưởng nào có thể được trao cho các thống đốc KHÔNG đủ điều kiện tham gia Ark of Osiris nhưng các thành viên liên minh của họ đủ điều kiện và bị đánh bại?,Đá quý
What tier of crystal treasure is found in the Lvl 26 Alliance Gift?,Treasure of Blue Crystal,Loại kho báu pha lê nào được tìm thấy trong Quà tặng Liên minh Lvl 26?,Kho báu pha lê xanh
"What two countries together made up the “Iberian Union""?",Portugal and Spain,"Hai quốc gia nào cùng nhau tạo nên ""Liên minh Iberia""?",Bồ Đào Nha và Tây Ban Nha
What two major works are attributed to Homer?,The Odyssey and The Iliad,Hai tác phẩm chính nào được cho là của Homer?,Odyssey và Iliad
What useful tool did famed carpenter Lu Ban invent?,The saw,Người thợ mộc nổi tiếng Lỗ Ban đã phát minh ra công cụ hữu ích nào?,cái cưa
"What was another usage of gin, aside from being a popular drink, in the 18th century?",Medicine,"Một cách sử dụng khác của rượu gin, ngoài việc là một thức uống phổ biến, vào thế kỷ 18 là gì?",Y học
What was the country of origin of the architect who designed the Museum of Egyptian Antiquities located in Cairo?,France,Quốc gia xuất xứ của kiến ​​trúc sư đã thiết kế Bảo tàng Cổ vật Ai Cập nằm ở Cairo là gì?,Pháp
What was the final score of the 2014 World Cup final between Germany and Argentina?,1 – 0,Tỷ số cuối cùng của trận chung kết World Cup 2014 giữa Đức và Argentina là bao nhiêu?,1 – 0
What was the first animated film Satoshi Kon directed?,Perfect Blue,Bộ phim hoạt hình đầu tiên mà Satoshi Kon đạo diễn là gì?,Màu xanh hoàn hảo
What was the first men’s World Cup to have a female referee?,2022 Qatar World Cup,World Cup nam đầu tiên có trọng tài nữ là gì?,Cúp thế giới Qatar 2022
What was the first of the three major battles fought between Alexander the Great and the Achaemenid Empire?,Battle of the Granicus,Trận chiến đầu tiên trong ba trận chiến lớn giữa Alexander Đại đế và Đế chế Achaemenid là gì?,Trận chiến Granicus
What was the first World Cup trophy called?,Jules Rimet Trophy,Chiếc cúp vô địch World Cup đầu tiên được gọi là gì?,Cúp Jules Rimet
"What was the homeland of Odysseus, the subject of Homer’s Odyssey?",Ithaca,"Quê hương của Odysseus, chủ đề của Odyssey của Homer là gì?",ithaca
What was the name of the alliance led by Athens in the Peloponnesian War?,Delian League,Tên của liên minh do Athens lãnh đạo trong Chiến tranh Peloponnese là gì?,Liên đoàn Delian
What was the name of the ancient Greek god of wine?,Dionysus,Tên của vị thần rượu vang Hy Lạp cổ đại là gì?,Dionysus
What was the name of the creature in Greek mythology that lured sailors with its heavenly singing voice?,Siren,Tên của sinh vật trong thần thoại Hy Lạp đã thu hút các thủy thủ bằng giọng hát tuyệt vời của nó là gì?,Còi báo động
What was the name of the first chimpanzee to go to space?,Ham,Tên của con tinh tinh đầu tiên bay vào vũ trụ là gì?,giăm bông
What was the name of the official match ball of the 2018 World Cup?,Telstar,Quả bóng thi đấu chính thức của World Cup 2018 có tên là gì?,Telstar
"What was the native language of Cleopatra VII, otherwise known as Cleopatra the Queen of Egypt?",Greek,"Ngôn ngữ mẹ đẻ của Cleopatra VII, hay còn gọi là Cleopatra Nữ hoàng Ai Cập là gì?",tiếng Hy Lạp
What was the original purpose of the Great Pyramid of Giza?,Pharaoh Khufu’s tomb,Mục đích ban đầu của Đại kim tự tháp Giza là gì?,Lăng mộ của Pharaoh Khufu
What was the regnal name of the last emperor of China’s Qing Dynasty?,Xuantong,Tên vua của vị hoàng đế cuối cùng của triều đại nhà Thanh của Trung Quốc là gì?,Huyền Thông
What was the relationship between the famed generals Tolui and Genghis Khan?,Father and son,Mối quan hệ giữa các vị tướng nổi tiếng Tolui và Thành Cát Tư Hãn là gì?,Cha và con trai
What was the venue for the final match of the 2018 World Cup held in Russia?,"Luzhniki Stadium, Moscow",Địa điểm diễn ra trận đấu cuối cùng của World Cup 2018 được tổ chức tại Nga là gì?,"Sân vận động Luzhniki, Moscow"
What weapon does the commander Richard I wield?,An axe and shield,Chỉ huy Richard I sử dụng vũ khí gì?,Một cái rìu và một tấm khiên
What weapons do City Keepers wield?,An axe and shield,Người giữ thành phố sử dụng vũ khí gì?,Một cái rìu và một tấm khiên
What weapons does the commander City Keeper wield?,An axe and shield,Người chỉ huy City Keeper sử dụng vũ khí gì?,Một cái rìu và một tấm khiên
What were Maya pyramids made of?,Stone,Kim tự tháp Maya được làm bằng gì?,Đá
"What were the men and women hiding from on the outskirts of Florence in the novella collection “The Decameron""?",The Black Plague,Những người đàn ông và phụ nữ đang trốn tránh điều gì ở ngoại ô Florence trong bộ sưu tập tiểu thuyết ngắn “The Decameron”?,Bệnh dịch đen
"What’s does the “Fully Loaded"" alliance skill do when used?",Increases alliance members’ gathering speed for one type of resource,Kỹ năng liên minh “Đã nạp đầy đủ” có tác dụng gì khi sử dụng?,Tăng tốc độ thu thập của các thành viên liên minh đối với một loại tài nguyên
"What’s does the “Nature’s Gift"" alliance skill do when used?",Summon resource points in a selected area,Kỹ năng liên minh “Quà tặng của thiên nhiên” có tác dụng gì khi sử dụng?,Triệu hồi điểm tài nguyên trong khu vực đã chọn
"What’s does the “Skillful Craftsman"" alliance skill do when used?",Greatly increases alliance flag construction speed,"Kỹ năng liên minh ""Thợ thủ công khéo léo"" có tác dụng gì khi sử dụng?",Tăng đáng kể tốc độ xây dựng cờ liên minh
What’s the primary cause of the formation of the Himalayas?,Collision between plates,Nguyên nhân chính dẫn đến sự hình thành dãy Himalaya là gì?,Va chạm giữa các tấm
"When a governor’s city hall reaches level 25, how many farms can they build?",4.0,"Khi tòa thị chính của thống đốc đạt cấp 25, họ có thể xây dựng bao nhiêu trang trại?",4.0
"When Achilles refuses to fight, Patroclus puts on Achilles armor, fights the Trojans, and dies. Who is Patroclus killed by?",Hector,"Khi Achilles từ chối chiến đấu, Patroclus mặc áo giáp của Achilles, chiến đấu với quân Troy và chết.Patroclus bị giết bởi ai?",Hector
"When alliance members gather resources in alliance territory, how much is their Gathering Speed increased by?",25%,"Khi các thành viên liên minh thu thập tài nguyên trong lãnh thổ liên minh, Tốc độ thu thập của họ tăng thêm bao nhiêu?",25%
"When did the “hard-boiled"" or “noir"" literary genre of fiction first fluorish?",1920s,Thể loại văn học hư cấu “cứng rắn” hay “noir” lần đầu tiên phát triển khi nào?,thập niên 1920
When did the War of the Austrian Succession take place?,1740-1748,Chiến tranh Kế vị Áo diễn ra khi nào?,1740-1748
"When moist air encounters an obstacle such as a mountain range and is forced upward while air temperature drops, resulting in rain, this is known as:",Orographic precipitation,"Khi không khí ẩm gặp chướng ngại vật như dãy núi và bị đẩy lên trên trong khi nhiệt độ không khí giảm xuống, dẫn đến mưa, hiện tượng này được gọi là:",Lượng mưa địa hình
"When not affected by buffs, how much resource capacity does a Level 25 Storehouse have for each type of resource?",2500000.0,"Khi không bị ảnh hưởng bởi buff, Kho cấp 25 có bao nhiêu dung lượng tài nguyên cho từng loại tài nguyên?",2500000.0
"When sailing through a thunderstorm, one can occasionally see a “lightning"" effect at the tip of the mast. What is this phenomenon called?",Saint Elmo’s Fire,"Khi chèo thuyền qua cơn giông bão, thỉnh thoảng người ta có thể thấy hiệu ứng “sét” ở đầu cột buồm.Hiện tượng này được gọi là gì?",Ngọn lửa Thánh Elmo
"When someone steps on a banana peel wearing shoes, the frictional coefficient between their shoe and the banana peel is:",0.07,Khi có người mang giày dẫm lên vỏ chuối thì hệ số ma sát giữa giày và vỏ chuối là:,"0,07"
When was Coca-Cola invented?,The 19th century,Coca-Cola được phát minh khi nào?,Thế kỷ 19
When was Napoleon Bonaparte born?,1769.0,Napoléon Bonaparte sinh năm nào?,1769.0
When was the Declaration of Independence written?,1776.0,Tuyên ngôn độc lập được viết khi nào?,1776.0
When was the first Venice Film Festival held?,1932.0,Liên hoan phim Venice đầu tiên được tổ chức khi nào?,1932.0
"When was the theremin, one of the first electronic musical instruments, invented?",1919.0,"Theremin, một trong những nhạc cụ điện tử đầu tiên, được phát minh khi nào?",1919.0
When were bicycles introduced to Europe?,The 19th century,Xe đạp được giới thiệu tới châu Âu từ khi nào?,Thế kỷ 19
Where are the world’s largest proven oil reserves located?,Ghawar Field,Trữ lượng dầu đã được chứng minh lớn nhất thế giới nằm ở đâu?,Cánh đồng Ghawar
"Where did Hippocrates, the “Father of Medicine"", come from?",Ancient Greece,"Hippocrates, “Cha đẻ của y học”, đến từ đâu?",Hy Lạp cổ đại
Where did King Louis XIV of France move the royal Court to in 1682?,The Palace of Versailles,Vua Louis XIV của Pháp đã chuyển triều đình đến đâu vào năm 1682?,Cung điện Versailles
Where did reggae music originate?,Jamaica,Nhạc reggae bắt nguồn từ đâu?,Jamaica
Where did the final battle between King Arthur and Mordred take place according to Arthurian legend?,Camlann,Trận chiến cuối cùng giữa vua Arthur và Mordred diễn ra ở đâu theo truyền thuyết Arthurian?,Camlann
Where did the Renaissance begin?,Italy,Thời kỳ Phục hưng bắt đầu từ đâu?,Ý
Where do adaptations come from?,Both mutations and genetic recombination,Sự thích ứng đến từ đâu?,Cả đột biến và tái tổ hợp di truyền
Where do most hurricanes start?,On the open seas,Hầu hết các cơn bão bắt đầu từ đâu?,Trên vùng biển rộng mở
Where do most of the Ainu people live?,Hokkaido,Phần lớn người Ainu sống ở đâu?,Hokkaido
Where in Egypt is the Sphinx located?,The Giza Plateau,Tượng Nhân sư nằm ở đâu ở Ai Cập?,Cao nguyên Giza
Where in Italy is Vatican City located?,Rome,Thành phố Vatican nằm ở đâu ở Ý?,Rome
Where is the Capital of Scotland?,Edinburgh,Thủ đô của Scotland ở đâu?,Edinburgh
Where is the capital of the Germany?,Berlin,Thủ đô của Đức ở đâu?,Béc-lin
Where is the commander Gaius Marius from?,Ancient Rome,Chỉ huy Gaius Marius đến từ đâu?,La Mã cổ đại
Where is the largest pyramid in the world?,The Great Pyramid of Cholula,Kim tự tháp lớn nhất thế giới ở đâu?,Kim tự tháp vĩ đại Cholula
Where is the reported birthplace of the belly dance?,Egypt,Nguồn gốc của múa bụng được cho là ở đâu?,Ai Cập
"Where is the right hand of the famous sculpture known as “The Thinker"" resting?",Under the chin,Tay phải của tác phẩm điêu khắc nổi tiếng có tên “Người suy nghĩ” đang yên nghỉ ở đâu?,Dưới cằm
Where was Commander Lohar born?,In a remote barbarian tribe,Chỉ huy Lohar sinh ra ở đâu?,Ở một bộ tộc man rợ xa xôi
Where was famed musician Beethoven born?,Bonn,Nhạc sĩ nổi tiếng Beethoven sinh ra ở đâu?,Bonn
Where was Napoleon Bonaparte exiled after his defeat at Waterloo?,St. Helena,Napoléon Bonaparte bị lưu đày ở đâu sau thất bại ở Waterloo?,Thánh Helena
Where was Pablo Picasso born?,Iberia,Pablo Picasso sinh ra ở đâu?,Iberia
Where was the Ceroli Chieftain Torgny born?,Citadel of Braves,Thủ lĩnh Ceroli Torgny sinh ra ở đâu?,Thành trì của những người dũng cảm
Where was the composer Wolfgang Amadeus Mozart born?,Salzburg,Nhà soạn nhạc Wolfgang Amadeus Mozart sinh ra ở đâu?,Salzburg
Where was the rallying point for the first Crusade?,Constantinople,Đâu là điểm tập hợp của cuộc Thập tự chinh đầu tiên?,Constantinople
Where was the World Heritage Terracotta Army found?,In a royal mausoleum,Đội quân đất nung di sản thế giới được tìm thấy ở đâu?,Trong lăng mộ hoàng gia
Which achievement is unlocked from upgrading 2 hospitals to Lvl 25?,Hale & Hearty,Thành tích nào được mở khóa khi nâng cấp 2 bệnh viện lên Lvl 25?,Hale & nhiệt tình
"Which ancient civilization built the “Lost City"" of Machu Picchu?",The Incas,Nền văn minh cổ đại nào đã xây dựng nên “Thành phố đã mất” Machu Picchu?,người Inca
Which ancient Egyptian deity is represented with the head of a lion?,Tefnut,Vị thần Ai Cập cổ đại nào được đại diện với đầu sư tử?,hạt dẻ
Which ancient Egyptian pharaoh’s tomb did British archaeologist Howard Carter discover in 1922?,Tutankhamun,Nhà khảo cổ học người Anh Howard Carter đã phát hiện ra lăng mộ của pharaoh Ai Cập cổ đại nào vào năm 1922?,Tutankhamun
"Which ancient Greek dramatist wrote the famous tragedy “Oedipus Rex""?",Sophocles,Nhà viết kịch Hy Lạp cổ đại nào đã viết vở bi kịch nổi tiếng “Oedipus Rex”?,Sophocles
Which ancient Greek mathematician used the method of exhaustion to calculate the area of a circle?,Archimedes,Nhà toán học Hy Lạp cổ đại nào đã sử dụng phương pháp vét cạn để tính diện tích hình tròn?,Archimedes
Which ancient Greek philosopher put forth the first ideas of atomism?,Democritus,Triết gia Hy Lạp cổ đại nào đưa ra những ý tưởng đầu tiên về thuyết nguyên tử?,Democritus
Which Ancient Greek physicist famously discovered the concept of buoyancy while taking a bath?,Archimedes,Nhà vật lý Hy Lạp cổ đại nào đã phát hiện ra khái niệm nổi trong khi tắm?,Archimedes
"Which ancient Greek scholar laid the foundation for future European mathematics and authored the “Elements"" of geometry?",Euclid,Học giả Hy Lạp cổ đại nào đã đặt nền móng cho toán học châu Âu trong tương lai và là tác giả của “Các yếu tố” của hình học?,Euclid
Which animal is featured on commander Richard I’s background image?,A dog,Con vật nào xuất hiện trên hình nền của chỉ huy Richard I?,một con chó
"Which art group is known as a “national treasure"" of Canada?",Cirque du Soleil,Nhóm nghệ thuật nào được mệnh danh là “báu vật quốc gia” của Canada?,Cirque du Soleil
"Which artist painted the world-famous “Girl with a Pearl Earring""?",Johannes Vermeer,Họa sĩ nào đã vẽ bức tranh “Cô gái đeo bông tai ngọc trai” nổi tiếng thế giới?,Johannes Vermeer
"Which artist shocked the world by shredding a copy of his own work, Girl with Balloon, at an auction?",Banksy,"Nghệ sĩ nào đã gây chấn động thế giới khi xé nhỏ bản sao tác phẩm của chính mình, Girl with Balloon, tại một cuộc đấu giá?",Banksy
Which astronomer proposed the heliocentric theory in the 16th century?,Nicolaus Copernicus,Nhà thiên văn học nào đã đề xuất thuyết nhật tâm vào thế kỷ 16?,Nicolaus Copernicus
Which beverage was invented by American pharmacist John Pemberton?,Cola,Loại đồ uống nào được phát minh bởi dược sĩ người Mỹ John Pemberton?,cola
Which British star performed at the opening ceremony of the 2018 World Cup?,Robbie Williams,Ngôi sao người Anh nào biểu diễn ở lễ khai mạc World Cup 2018?,Robbie Williams
Which buff can be acquired from occupying a Sanctum of Courage?,Increase EXP gained by commanders,Buff nào có thể nhận được khi chiếm giữ Thánh đường Dũng cảm?,Tăng EXP mà chỉ huy nhận được
Which building was originally built in London to house the Great Exhibition of the Works of Industry of All Nations held in 1851?,The Crystal Palace,Tòa nhà nào ban đầu được xây dựng ở Luân Đôn để làm nơi tổ chức Triển lãm lớn về các công trình công nghiệp của tất cả các quốc gia được tổ chức vào năm 1851?,Cung điện pha lê
Which Ceroli Chieftain comes from Horn Bay?,Keira,Thủ lĩnh Ceroli nào đến từ Vịnh Horn?,Keira
Which Ceroli Chieftain comes from Sabertooth Valley?,Ak & Hok,Thủ lĩnh Ceroli nào đến từ Thung lũng Sabertooth?,Ak & Hok
Which Ceroli Chieftain dual wields a dagger and bow?,Wafura,Thủ lĩnh Ceroli nào cầm dao găm và cung tên?,Wafura
Which Ceroli Chieftain dwells in a place known as Death Forest?,Dekar,Thủ lĩnh Ceroli nào sống ở một nơi được gọi là Rừng Chết?,Dekar
Which Ceroli Chieftain has been tasked with safeguarding Windrage Cliffs?,Astrid,Thủ lĩnh Ceroli nào được giao nhiệm vụ bảo vệ Vách đá Windrage?,Astrid
Which Ceroli Chieftain has power over frost?,Frida,Thủ lĩnh Ceroli nào có sức mạnh chống lại băng giá?,Frida
Which Ceroli Chieftain once encircled the Citadel of Braves with their forces?,Torgny,Thủ lĩnh Ceroli nào đã từng bao vây Thành cổ của những dũng sĩ bằng lực lượng của họ?,Torgny
Which Ceroli Chieftain safeguards the Whitestone Tower?,Frida,Thủ lĩnh Ceroli nào bảo vệ Tháp Whitestone?,Frida
Which Ceroli Chieftain spent over 20 years garrisoning the Northern Reaches?,Torgny,Thủ lĩnh Ceroli nào đã dành hơn 20 năm đồn trú ở Northern Reach?,Torgny
Which Ceroli Chieftain uses a bow for a weapon?,Keira,Thủ lĩnh Ceroli nào sử dụng cung làm vũ khí?,Keira
Which Ceroli Chieftain wields two weapons at once?,Astrid,Thủ lĩnh Ceroli nào sử dụng hai vũ khí cùng một lúc?,Astrid
Which Ceroli Chieftain works alongside a snake?,Dekar,Thủ lĩnh Ceroli nào hoạt động cùng với một con rắn?,Dekar
Which Ceroli Chieftain’s tribe has lived in the freezing wastes for generations?,Wafura,Bộ tộc của Thủ lĩnh Ceroli nào đã sống trong vùng hoang mạc băng giá qua nhiều thế hệ?,Wafura
"Which chapter of the Kingdom Chronicles grants the “Explorer for Life"" achievement if all mist is explored before the chapter’s end?",Long Peace,"Chương nào của Biên niên sử Vương quốc trao thành tích ""Nhà thám hiểm sự sống"" nếu tất cả sương mù được khám phá trước khi kết thúc chương?",Hòa bình lâu dài
Which Chieftain from the Ceroli Crisis event is well-versed in poison magic?,Dekar,Thủ lĩnh nào trong sự kiện Khủng hoảng Ceroli thành thạo ma thuật độc?,Dekar
Which Chieftain in the Ceroli Crisis event mounted a successful coup?,Torgny,Thủ lĩnh nào trong sự kiện Khủng hoảng Ceroli đã thực hiện một cuộc đảo chính thành công?,Torgny
Which Chinese dynasty did Jiang Ziya help to establish?,The Zhou Dynasty,Giang Tử Nha đã giúp thành lập triều đại nào của Trung Quốc?,Nhà Chu
Which city hosted the 2000 Summer Olympics?,Sydney,Thành phố nào đăng cai Thế vận hội Mùa hè 2000?,Sydney
"Which city-state defeated Sparta in the “Battle of Leuctra""?",Thebes,Thành bang nào đã đánh bại Sparta trong “Trận chiến Leuctra”?,Thebes
Which city-state of Ancient Greece was known for its brutal military training and bravery?,Sparta,Thành phố nào của Hy Lạp cổ đại được biết đến với sự dũng cảm và huấn luyện quân sự tàn bạo?,Sparta
Which civilian airport is the highest above sea level?,Daocheng Yading Airport,Sân bay dân dụng nào cao nhất so với mực nước biển?,Sân bay Dao Thành Yading
Which civilization was the first to have public toilets?,Ancient Rome,Nền văn minh nào có nhà vệ sinh công cộng đầu tiên?,La Mã cổ đại
Which club has footballer Lionel Messi played for the longest?,Barcelona,Cầu thủ bóng đá Lionel Messi thi đấu lâu nhất cho câu lạc bộ nào?,Barcelona
Which club has won the most English Premier League titles?,Manchester United,Câu lạc bộ nào giành được nhiều chức vô địch Ngoại hạng Anh nhất?,Manchester United
Which commander can be said to have the thickest eyebrows in Rise of Kingdoms?,Cao Cao,Có thể nói chỉ huy nào có lông mày dày nhất trong Rise of Kingdoms?,Tào Tháo
Which commander does NOT receive a skill level boost from a Legendary Commander Sculpture?,Hannibal Barca,Chỉ huy nào KHÔNG nhận được mức tăng cấp độ kỹ năng từ Tác phẩm điêu khắc chỉ huy huyền thoại?,Hannibal Barca
Which commander features a ship in their background image?,Pelagius,Chỉ huy nào có hình con tàu trong hình nền của họ?,Pelagius
Which commander has a crown with gemstones of a different color to the others?,Queen Tamar of Georgia,Người chỉ huy nào có vương miện đính đá quý có màu khác với những người khác?,Nữ hoàng Tamar của Georgia
"Which commander is commonly regarded as having exemplified the ideal of the “Bushido Spirit""?",Kusunoki Masashige,Vị chỉ huy nào thường được coi là gương mẫu cho lý tưởng “Tinh thần võ sĩ đạo”?,Kusunoki Masashige
"Which commander is known as “The Immortal Hammer""?",Charles Martel,Vị chỉ huy nào được mệnh danh là “Búa Bất Tử”?,Charles Martel
Which commander is known as Barbarossa?,Frederick I,Chỉ huy nào được gọi là Barbarossa?,Frederick I
Which commander is known as Kamakura’s Warlord?,Minamoto no Yoshitsune,Người chỉ huy nào được mệnh danh là Lãnh chúa của Kamakura?,Minamoto no Yoshitsune
Which commander is known as the Conqueror of Chaos?,Cao Cao,Vị chỉ huy nào được mệnh danh là Kẻ chinh phục sự hỗn loạn?,Tào Tháo
Which commander is known as the Lady of the Mercians?,Æthelflæd,Người chỉ huy nào được mệnh danh là Lady of the Mercians?,Æthelflæd
"Which commander is nicknamed “Bow of Revolution""?",Yi Seong-Gye,Vị chỉ huy nào được mệnh danh là “Cung cách mạng”?,Yi Seong Gye
Which commander is nicknamed Carthage’s Guardian?,Hannibal Barca,Chỉ huy nào có biệt danh là Người bảo vệ của Carthage?,Hannibal Barca
Which commander is nicknamed the Father of Conquest?,Baibars,Vị chỉ huy nào được mệnh danh là Cha Chinh Phục?,Baibars
Which commander is nicknamed the Roaring Barbarian?,Lohar,Vị chỉ huy nào có biệt danh là Kẻ man rợ gầm thét?,Lohar
"Which commander is reputed to have said, “I came, I saw, I conquered""?",Julius Caesar,"Vị tướng nào được cho là đã nói: “Tôi đến, tôi thấy, tôi chinh phục”?",Julius Caesar
Which commander role provides a load boost to troops?,Supply Captain,Vai trò chỉ huy nào giúp tăng tải cho quân đội?,Đội trưởng tiếp tế
"Which commander says: “My destiny is determined by faith and opportunity""?",Matilda of Flanders,Người chỉ huy nào nói: “Vận mệnh của tôi được quyết định bởi niềm tin và cơ hội”?,Matilda xứ Flanders
Which commander showed their military genius in the Battle of Tours in the 8th century AD?,Charles Martel,Vị chỉ huy nào đã thể hiện thiên tài quân sự của mình trong trận Tours vào thế kỷ thứ 8 sau Công nguyên?,Charles Martel
Which commander signed a peace treaty with Saladin in 1192?,Richard I,Vị chỉ huy nào đã ký hiệp ước hòa bình với Saladin vào năm 1192?,Richard I
Which commander was considered an enemy of Rome from an early age?,Hannibal Barca,Vị chỉ huy nào bị coi là kẻ thù của La Mã ngay từ khi còn nhỏ?,Hannibal Barca
Which commander was in charge of capturing Constantinople at the age of 21?,Mehmed II,Chỉ huy nào phụ trách chiếm Constantinople ở tuổi 21?,Mehmed II
Which commander was known as the Celtic Rose?,Boudica,Chỉ huy nào được biết đến với cái tên Celtic Rose?,Boudica
Which commander was paired with Minamoto?,Tomoe Gozen,Chỉ huy nào được ghép đôi với Minamoto?,Tomoe Gozen
Which commander wields the Beauty and Wisdom skill?,Cleopatra VII,Chỉ huy nào sử dụng kỹ năng Sắc đẹp và Trí tuệ?,Cleopatra VII
Which Commander’s active skill can inflict Silence?,Hermann,Kỹ năng chủ động nào của Chỉ huy có thể gây ra Im lặng?,Hermann
"Which composer wrote the opera “The Ring of the Nibelung""?",Wagner,Nhạc sĩ nào đã viết vở opera “The Ring of the Nibelung”?,Wagner
Which continent has the lowest average temperatures?,Antarctica,Châu lục nào có nhiệt độ trung bình thấp nhất?,Nam Cực
Which continent was the birthplace of Mayan civilization?,The Americas,Châu lục nào là nơi ra đời của nền văn minh Maya?,Châu Mỹ
Which continent was the Inca Empire located on?,South America,Đế chế Inca nằm ở châu lục nào?,Nam Mỹ
Which country did Arjen Robben play for?,The Netherlands,Arjen Robben đã chơi cho quốc gia nào?,Hà Lan
Which country did the famous poet Dante Alighieri come from?,Italy,Nhà thơ nổi tiếng Dante Alighieri đến từ đất nước nào?,Ý
"Which country did Zarathustra, of the tone poem ‘Thus Spoke Zarathustra’, come from?",Persia,"Zarathustra, trong bài thơ có giai điệu ‘Zarathustra đã nói như vậy’, đến từ đất nước nào?",Ba Tư
Which country gave the Statue of Liberty to the American people as a gift?,France,Nước nào tặng tượng Nữ thần Tự do cho người dân Mỹ?,Pháp
Which country has adopted the quetzal as its national bird?,Guatemala,Quốc gia nào đã chọn chim quetzal làm loài chim quốc gia của mình?,Guatemala
Which country has participated in 8 World Cups but has never advanced past the group stage?,Scotland,Quốc gia nào đã tham dự 8 kỳ World Cup nhưng chưa từng vượt qua vòng bảng?,Scotland
Which country has topped the FIFA world rankings but has never won a World Cup?,Belgium,Quốc gia nào đứng đầu bảng xếp hạng FIFA thế giới nhưng chưa từng vô địch World Cup?,nước Bỉ
Which country has won the most World Cups?,Brazil,Quốc gia nào vô địch World Cup nhiều nhất?,Brazil
Which country has won the World Cup five times?,Brazil,Quốc gia nào đã 5 lần vô địch World Cup?,Brazil
Which country hosted and won the 1930 World Cup?,Uruguay,Quốc gia nào đăng cai và vô địch World Cup 1930?,Uruguay
Which country hosted and won the 1978 World Cup?,Argentina,Quốc gia nào đăng cai và vô địch World Cup 1978?,Argentina
Which country hosted the 1994 World Cup?,The United States,Quốc gia nào đăng cai World Cup 1994?,Hoa Kỳ
Which country hosted the 1998 World Cup?,France,Quốc gia nào đăng cai World Cup 1998?,Pháp
Which country hosted the 2022 World Cup?,Qatar,Quốc gia nào đăng cai World Cup 2022?,Qatar
"Which country hosted the first ever Winter Olympics on January 25, 1924?",France,Quốc gia nào tổ chức Thế vận hội Mùa đông đầu tiên vào ngày 25 tháng 1 năm 1924?,Pháp
Which country hosted the first World Cup?,Uruguay,Quốc gia nào tổ chức World Cup đầu tiên?,Uruguay
Which country is Çatalhöyük located in?,Turkey,Çatalhöyük nằm ở quốc gia nào?,Thổ Nhĩ Kỳ
"Which country is responsible for inventing blue cheese, well-known for its pungent taste?",France,"Quốc gia nào chịu trách nhiệm phát minh ra phô mai xanh, nổi tiếng với vị cay nồng?",Pháp
Which country used an orange as its World Cup mascot?,Spain,Quốc gia nào đã sử dụng quả cam làm linh vật của World Cup?,Tây Ban Nha
Which country was allowed to keep the Jules Rimet Trophy permanently?,Brazil,Quốc gia nào được phép giữ Cúp Jules Rimet vĩnh viễn?,Brazil
Which country was England fighting against in the Battle of Agincourt?,France,Nước Anh đang chiến đấu chống lại nước nào trong trận Agincourt?,Pháp
"Which country was Marco Polo, a famous explorer and merchant, born in?",Republic of Venice,"Marco Polo, nhà thám hiểm và thương gia nổi tiếng sinh ra ở nước nào?",Cộng hòa Venice
Which country was the composer Franz Schubert from?,Austria,Nhà soạn nhạc Franz Schubert đến từ nước nào?,Áo
Which country was the first Asian country to reach the semi-final stage of the World Cup?,Korea,Quốc gia châu Á đầu tiên lọt vào bán kết World Cup là quốc gia nào?,Hàn Quốc
Which country was the first to invent perfume?,Cyprus,Nước nào phát minh ra nước hoa đầu tiên?,Síp
Which country won the 2018 World Cup held in Russia?,France,Quốc gia nào vô địch World Cup 2018 tổ chức tại Nga?,Pháp
Which country’s explorers were the first to land in Antarctica?,Norway,Nhà thám hiểm của nước nào là người đầu tiên đặt chân tới Nam Cực?,Na Uy
Which country’s team has played in every World Cup?,Brazil,Đội tuyển quốc gia nào đã chơi ở mọi kỳ World Cup?,Brazil
Which creature decoration from Greek mythology can governors construct in their city?,Pegasus,Các thống đốc có thể xây dựng đồ trang trí sinh vật nào trong thần thoại Hy Lạp trong thành phố của họ?,Pegasus
Which deity of ancient Egyptian mythology was represented by the obelisk?,Ra,Vị thần nào trong thần thoại Ai Cập cổ đại được đại diện bởi đài tưởng niệm?,Ra
"Which demigod captures Cerberus, the “three-headed hound of Hades"", according to Greek mythology?",Hercules,"Vị á thần nào bắt được Cerberus, “chó săn ba đầu của Hades”, theo thần thoại Hy Lạp?",Hercules
"Which Dutch scientist is known as “the father of microbiology""?",Antonie van Leeuwenhoek,Nhà khoa học Hà Lan nào được mệnh danh là “cha đẻ của vi sinh vật”?,Antonie van Leeuwenhoek
Which Egyptian city marked the boundary between Upper Egypt and Lower Egypt during the pre-dynastic period?,Memphis,Thành phố nào của Ai Cập đánh dấu ranh giới giữa Thượng Ai Cập và Hạ Ai Cập trong thời kỳ tiền triều đại?,Memphis
Which emperor issued the Edict of Milan?,Constantine I,Vị hoàng đế nào đã ban hành Chỉ dụ Milano?,Constantine I
Which emperor issued the Proclamation of Milan?,Constantine I,Vị hoàng đế nào đã ban hành Tuyên bố Milan?,Constantine I
